Date,Open,High,Low,Close,AdjClose,Volume
8/7/2018,23700,23875,23700,23800,22965.51758,22875800
8/8/2018,23900,23950,23550,23925,23086.13281,12940500
8/9/2018,24000,24100,23900,24100,23254.99609,13189500
8/10/2018,24000,24075,23700,23875,23037.88477,16069600
8/13/2018,23525,23550,23050,23325,22507.16992,16036800
8/14/2018,23450,23900,23025,23500,22676.03516,17105500
8/15/2018,23600,23600,23300,23450,22627.78906,11466100
8/16/2018,23450,23475,23200,23375,22555.41602,10580700
8/17/2018,23375,23375,23375,23375,22555.41602,0
8/20/2018,23500,23900,23425,23900,23062.00977,19366400
8/21/2018,23850,23975,23850,23875,23037.88477,13587600
8/22/2018,23875,23875,23875,23875,23037.88477,0
8/23/2018,23800,24650,23775,24575,23713.33984,29173600
8/24/2018,24600,25475,24575,25075,24195.81055,20795000
8/27/2018,25100,25350,24675,24775,23906.33008,18257000
8/28/2018,25100,25100,24550,24975,24099.31641,12670700
8/29/2018,24500,24800,24475,24800,23930.45313,17539100
8/30/2018,24975,25150,24925,25075,24195.81055,19254700
8/31/2018,25000,25050,24800,24800,23930.45313,22312600
9/3/2018,25050,25075,24600,24775,23906.33008,7697900
9/4/2018,24825,24900,24500,24750,23882.20508,8454300
9/5/2018,24500,24500,23650,24000,23158.50391,19121700
9/6/2018,24025,25200,23600,24700,23833.95703,19053000
9/7/2018,24825,24850,24375,24850,23978.69922,14510300
9/10/2018,24600,24750,24150,24750,23882.20508,13339300
9/11/2018,24750,24750,24750,24750,23882.20508,0
9/12/2018,24750,24825,23825,23900,23062.00977,17580100
9/13/2018,24200,24375,23900,24000,23158.50391,18810200
9/14/2018,23900,24200,23700,23975,23134.38086,14494700
9/17/2018,23750,23975,23750,23925,23086.13281,7895600
9/18/2018,23700,24250,23700,24000,23158.50391,15023900
9/19/2018,24075,24225,23825,24000,23158.50391,22311700
9/20/2018,24200,24225,23900,23950,23110.25586,12157200
9/21/2018,23900,24150,23700,23700,22869.01953,30410400
9/24/2018,23900,24075,23800,23925,23086.13281,11980400
9/25/2018,24000,24000,23825,23925,23086.13281,8554200
9/26/2018,23800,24300,23800,24200,23351.49023,14343100
9/27/2018,23900,24125,23850,24000,23158.50391,14200200
9/28/2018,23900,24150,23900,24150,23303.24414,19395000
